scramble,orientation,cross,corner_fr,corner_fl,corner_bl,corner_br,edge_fr,edge_fl,edge_bl,edge_br,EO,CO,CP,ep,total_moves
F' L' F' R L2 U2 F B R2 L B' L2 F2 B' R2 U2 R' L2 D L2 F2 L B,x2,F2 U' B L D' L2 F',F R' F2 U' F R,L U' L',U F2 L F2 L',F' U2 F,,U' L2 U2 L' U2 L2,U' B2 D2 F D2 B2,R' U2 B' R B U2 R,R B U B' U' R',R B' R' F R B R' F',R D' F2 R2 U' L F2 L' U R2 F2 D R',,70
L2 B' D2 U F' R2 F2 R2 D U B D' L F L' D' F2 U2 L2 R D2 R U' L D,x2,U' L' F U B L',B L' U2 L B',B' F U2 F' U B,F U2 F',R B' R B R2,L2 D' B L U' L' U B2 D,B' U2 R' U' R U2 B,U B2 D2 F D2 B2,L' B2 D' R D B2 L,,R' U' R U' R' U2 R,U2,F2 U L R' F2 L' R U F2,71
L2 B' U2 B2 D' B R D' F L2 U' B F2 L2 B U2 D' F R U2 L2 D2,x2,D' R' B' F' L2,B L' U2 L B',L U' L',F U' F',U F' U' F,L2 D' L U L' B' D L2,L' D2 B' R B D2 L,B2 D2 F' D2 B2,L F2 U F' U' F2 L',F' U2 F R B2 L' B' L U2 B' R',F2 R2 F L2 F' R2 F L2 F,L B L' F' D L D' B' L' F L2 U' L2,L2 F2 D2 R2 B F D2 L2 B F,90
F2 B2 L2 D2 R2 F' D2 U2 R U2 B2 D B D2 R2 F B' R F L' B,x2,L' B D' F2 L',R U R2 U2 R,L U L',L' R U L R',F' U' F,L2 D' U B2 D,B' U2 R' U' R U2 B,L' U2 B' U' B U2 L,B U B2 D' R2 D B,R' U' F' U F R,R' U' R U' R' U2 R,B' R B' L2 B R' B' L2 B2,L2 U' B F' L2 B' F U' L2,78
B2 L2 U L R2 F' U' D2 R' D R L B' D L2 D U F U' F D' R' D2 L',x2,F' D' L F D2,R U R2 U2 R,L' U2 L2 U' L',U2 F2 L F2 L',U F' U' F,U' L2 D2 R' D2 L2,B2 R B2 R2 B' U' R B R,L' U2 B' U' B U2 L,B L2 D F' D' L2 B',F' U2 F R B2 L' B' L U2 B' R',R' U' R U' R' U2 R,B' R B' L2 B R' B' L2 B2,,80
D' B' L U B2 R' B D2 B' L2 D2 U2 L R B' U2 B2 L' U2 L U' F2 L U',x2,U B F R B L',B' R' U R2 B R',B' U' F U2 B F',U2 F2 L F2 L',,R2 D' U F2 D,U' L2 U2 L' U2 L2,B D F L F2 D' B' U' L',,L U F U' F' L',R B L' B' R' B L B',R2 B2 R F R' B2 R F' R,F2 U L R' F2 L' R U F2,75
B' R2 F' D L' F2 B' R U D' B L2 D2 U2 R2 L' B2 U' F2 U2 B' F R L2 F',x2,F U' R2 B' L' D R,R2 F2 R2 F2,L F' U2 F L',L' B' U2 B L,R U2 B' R B R2,B' U' L' B L B,R2 D2 L' D2 R2,F L F L' U' F',R' U2 B' R' B U2 R,,F2 R2 F L2 F' R2 F L2 F,U B2 L2 B R B' L2 B R' B,L2 U' B F' L2 B' F U' L2,79
L F B L2 R' F L B R F2 B' L F B' U2 D R B2 R2 L2 U2 F2,x2,D F' L R2 B L,R' B' R2 B U' R,B' R' U2 R B,U2 F U' F',R2 B' R' B U2 R',B2 U2 B' U2 B2,B' U2 R' U2 R U2 B,L2 B2 D2 R' D2 B2 L2,R' U2 B' R' B U2 R,B' R' U' R U B,F U2 F' U' F U' F',B2 R2 B' L' B R2 B' L B',F2 U' L R' F2 L' R U' F2,84
B U2 F2 L B' R' U D' R U2 R' D F B' L U F2 D B F2 R B' F2,x2,R' U' B2 L' F' D,R2 F2 R2 F2,R' B2 R B2 R,L' U L,,L2 D2 R' D2 L2,L2 D U' F2 D',L' U2 B' U' B U2 L,B' R2 U' R U R2 B,,F2 R2 F L2 F' R2 F L2 F,R2 B2 R F R' B2 R F' R,L2 U B F' L2 B' F U L2,69
L2 R2 F2 U' L2 R D2 U' F' U2 R' B' L B U2 R' L U2 L U2 D L2 D,x2,L R' B' D B2 R B',B L' U2 L B',L U2 L',L' U B' U2 B L,R U2 R',R2 D' U F2 D,L2 D U' F2 D',L2 B2 D2 R' D2 B2 L2,,R U B U' B' R',B' U' B U' B' U2 B,U',B2 U L' R B2 L R' U B2,64
D B' R' F D' U R U' B2 U2 R2 L' F' R2 F' U' R B2 U2 D2 B2 U' L' D' F',x2,L2 U' F2 R' B' F,R' U R,B' R' U2 R B,F U F',F D2 B' D2 F',,,B D F L F2 D' B' U' L',L' B2 D' R D B2 L,R' U' F' U F R,R B' R' F R B R' F',U',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,65
D2 R2 U2 R2 U' D2 B F R L' B' F2 R2 U2 F D2 R2 U L2 D2,x2,R B' U L' B F2 D2,R' U R,L' U2 L2 U' L',L' U' L,R B' R B R2,L2 D' L U L' B' D L2,B' U2 R' U2 R U2 B,U' B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R' U' F' U F R,F' U2 F2 U F2 U F2 U2 F',U L2 F2 L B L' F2 L B' L,B2 U' L' R B2 L R' U' B2,87
D U' B' U' L' D2 U' B' U2 D F2 L2 D R' F' D' U2 F D U' R' U2 F2 U' B,x2,L' F' L2 B2 R' D',B2 R B2 R',L2 F2 L2 F2,F U' F',F' U F,R2 D' U F2 D,B2 R B2 R2 B' U' R B R,U B2 D2 F D2 B2,B L2 D F' D' L2 B',R' U' F' U F R,B2 D F' L2 F D' B' U2 B',R2 F2 R' B' R F2 R' B R',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,83
